id,name,nif,address,phone
1,Cassie Terrell,119860367,"Acesso Henrique Campos 4, Casa 8, 9174-511, Tavira, Porto, Portugal",+351993424627
2,Amy-Leigh Parkinson,138993274,"N666-3 53, Lote 48, 6308-793, Aveiro, Aveiro, Portugal",+351944800777
3,Rita Maldonado,283091936,"N904-0 18, Lote 82, 1965-327, Santarem, Santarem, Portugal",+351161836096
4,Eleni Chaney,155633963,"Ladeira Ofelia Carneiro 34, Bloco 98, 7381-175, Lourosa, Evora, Portugal",+351923039710
5,Ellie-Mae May,135322141,"Caminho Moises Nogueira 1, Bloco 77, 5953-787, Evora, Viseu, Portugal",+351371655994
6,Margot Worthington,132660548,"N552-8 86, Bloco 51, 1680-372, Penafiel, Portalegre, Portugal",+351659590278
7,Kristopher Navarro,165241533,"N44 089, Lote 60, 6021-262, Caldas da Rainha, Viana do Castelo, Portugal",+351264886435
8,Derrick Lozano,205312027,"N784-5 8313, Apto. 179, 6038-359, Camara de Lobos, Vila Real, Portugal",+351851058673
9,Jed Atherton,278635477,"N88 0, Lote 05, 9418-631, Tavira, Vila Real, Portugal",+351368384501
10,Finnlay Velez,120228293,"N434-9 34, Casa 1, 2527-094, Funchal, Santarem, Portugal",+351987459911
11,Maximus Connor,221138976,"N004-0 65, Bloco 29, 9243-015, Serpa, Portalegre, Portugal",+351986564693
12,Roseanna Daniel,188007834,"N6 2, Apto. 059, 5417-721, Esmoriz, Viana do Castelo, Portugal",+35183241760
13,Wojciech Weiss,185953313,"N20 33, Lote 37, 1002-255, Penafiel, Coimbra, Portugal",+351847726832
14,Faizaan Andersen,113788783,"Calcada Ariana Pinheiro 3522, Lote 81, 8611-632, Seixal, Portalegre, Portugal",+351864340769
15,Kashif Nolan,273043543,"Avenida Carlos Rodrigues 4184, Lote 17, 1546-258, Tarouca, Setubal, Portugal",+351401925867
16,Lexi-May Easton,207265990,"N0 7930, Apto. 139, 9399-911, Santarem, Viana do Castelo, Portugal",+351638667853
17,Ffion Martins,130511358,"N481 84, Bloco 62, 1394-101, Elvas, Braganca, Portugal",+351482348601
18,Addison Gibson,235662188,"N666-7 80, Bloco 69, 9401-052, Espinho, Evora, Portugal",+351997768338
19,Kristopher Navarro,125296885,"N47 050, Bloco 82, 8880-711, Marco de Canaveses, Viana do Castelo, Portugal",+351561430550
20,Faiza Deleon,178649193,"N24 981, Lote 60, 4715-471, Figueira da Foz, Vila Real, Portugal",+351958032304
21,Janae Holland,115898776,"N01 469, Casa 4, 6566-821, Tavira, Faro, Portugal",+351168472517
22,Jade Morton,258112974,"N025 662, Lote 96, 0911-162, Paredes, Portalegre, Portugal",+351190422258
23,Samual Sherman,264935876,"N9 683, Bloco 77, 6055-235, Macedo de Cavaleiros, Faro, Portugal",+351921967022
24,Amalia Rollins,163178003,"Beco Helio Amorim 9, Bloco 15, 2361-934, Ponte de Sor, Setubal, Portugal",+351983022428
25,Benn Beach,103833577,"N994-6 8633, Bloco 46, 5066-359, Faro, Castelo Branco, Portugal",+351532320162
26,Arwa Porter,255182104,"N331-2 0, Lote 89, 3573-874, Gondomar, Vila Real, Portugal",+351170581779
27,Amba Mcdonnell,115755439,"Caminho Leandro Cunha 2, Bloco 60, 9959-078, Sines, Braga, Portugal",+351613938311
28,Samina Odling,196579136,"N719-1 6, Lote 49, 2776-801, Torres Vedras, Aveiro, Portugal",+351724428328
29,Natan Friedman,262283998,"N038-3 626, Bloco 64, 1426-090, Coimbra, Porto, Portugal",+3512312155
30,Faizaan Andersen,233025329,"N530 5, Bloco 52, 4591-555, Lagoa, Coimbra, Portugal",+351796804198
31,Mica Fritz,270632618,"N47 9056, Lote 96, 0724-033, Anadia, Guarda, Portugal",+35172114633
32,Kashif Nolan,259591045,"N69 6395, Lote 18, 8868-037, Santa Cruz, Vila Real, Portugal",+351947314367
33,Derrick Lozano,190488124,"Praca Camila Miranda 79, Bloco 08, 9942-826, Praia da Vitoria, Faro, Portugal",+351323182291
34,Cobie Cooper,243709551,"N04 025, Lote 25, 6987-942, Peniche, Castelo Branco, Portugal",+351722919604
35,Merlin Finch,109398765,"Viela Eduarda Ferreira 478, Lote 23, 3234-039, Porto, Beja, Portugal",+351890853322
36,Imani Ford,283144368,"N399 511, Apto. 420, 8018-205, Anadia, Beja, Portugal",+351433145999
37,Mahad Whyte,136809772,"N9 723, Apto. 951, 4376-935, Fiaes, Leiria, Portugal",+351906434898
38,Layla-Mae Andrade,107177246,"N08 831, Casa 9, 8414-179, Vila Baleira (a.k.a. Porto Santo), Setubal, Portugal",+351447255859
39,Roseanna Daniel,170968653,"N817-7 19, Casa 7, 6615-716, Santa Cruz, Lisboa, Portugal",+351554407815
40,Shannen Kerr,248493306,"N23 4, Lote 78, 5600-039, Trancoso, Coimbra, Portugal",+351693220277
41,Anna-Marie Collier,291191769,"N494 11, Casa 0, 8151-813, Lagoa, Faro, Portugal",+351591261722
42,Youssef Higgins,193927695,"N8 6899, Bloco 58, 4597-863, Amarante, Santarem, Portugal",+351956206791
43,Bryony Shaffer,102253321,"N46 95, Apto. 263, 2484-102, Beja, Aveiro, Portugal",+351220477740
44,Anniyah Shepherd,219422753,"Escadas Lia Torres 4382, Casa 6, 5632-491, Lagoa, Lisboa, Portugal",+35167649273
45,Alanah Greig,192169301,"N170-6 086, Lote 40, 5872-041, Tavira, Leiria, Portugal",+351683625658
46,Owais Mullins,203082744,"N893-0 827, Bloco 22, 7940-102, Olhao da Restauracao, Beja, Portugal",+351412040878
47,Mae Key,299903192,"N94 8, Bloco 54, 4344-858, Ovar, Braganca, Portugal",+351963322283
48,Ffion Martins,105302045,"N8 450, Bloco 83, 5413-265, Esmoriz, Aveiro, Portugal",+351418155404
49,Lilia Cole,245198366,"Praceta Matilde Campos 275, Casa 9, 2030-725, Vila Real de Santo Antonio, Setubal, Portugal",+351904187325
50,Konnor Whitley,264392892,"N04 0, Lote 08, 0889-245, Camara de Lobos, Santarem, Portugal",+351551594894
51,Sahara Proctor,239143829,"N7 8, Lote 90, 3187-239, Faro, Viana do Castelo, Portugal",+351959879893
52,Jamil Driscoll,274041234,"N138-1 9839, Bloco 73, 9598-826, Horta, Santarem, Portugal",+35177983112
53,Layla-Mae Andrade,155355568,"N367-3 535, Lote 03, 4595-713, Canico, Setubal, Portugal",+351748453685
54,Richard Byrne,232224568,"N7 537, Apto. 396, 7211-825, Vila Nova de Famalicao, Evora, Portugal",+351196452366
55,Etienne Barron,277387618,"Caminho Valter Tavares 3545, Lote 46, 5805-098, Quarteira, Vila Real, Portugal",+351263579384
56,Rocky Ahmed,105122520,"N5 2059, Casa 7, 8891-594, Ribeira Grande, Evora, Portugal",+351535203807
57,Anna-Marie Hinton,245382920,"N864-1 11, Bloco 83, 5804-460, Mealhada, Braga, Portugal",+351763975046
58,Jamil Driscoll,257740857,"N09 9126, Lote 95, 2675-808, Pacos de Ferreira, Setubal, Portugal",+351628203513
59,Tasneem Greenaway,204861587,"N354 49, Bloco 78, 5976-402, Canico, Viseu, Portugal",+351991891446
60,Haroon Enriquez,271109196,"Rua Samuel Faria 32, Lote 33, 7294-240, Vila do Conde, Lisboa, Portugal",+351700906736
61,Sky Rossi,299778750,"N868-2 820, Apto. 829, 0049-892, Vila Baleira (a.k.a. Porto Santo), Porto, Portugal",+351306355890
62,Ianis Byrd,218327456,"Ladeira Nuria Matias 3, Bloco 41, 3171-011, Alcobaca, Guarda, Portugal",+351392205619
63,Lilly-May Huerta,211876764,"N7 148, Lote 35, 1503-273, Valbom, Coimbra, Portugal",+351765493201
64,Brook Mccormack,145534702,"N824 311, Apto. 123, 7692-152, Meda, Santarem, Portugal",+351314020090
65,Haydon Richards,219040372,"N663-5 5, Apto. 940, 2945-067, Santiago do Cacem, Coimbra, Portugal",+351137631735
66,Shereen Horner,103782477,"N913-7 69, Lote 51, 2702-061, Vila Real, Viana do Castelo, Portugal",+351576114907
67,Avleen Findlay,218910190,"Jardim Diogo Araujo 1275, Lote 54, 8842-917, Almada, Viana do Castelo, Portugal",+351686881281
